instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual_p,registerd_p,Cluster
20,2011-01-01,Spring,2011,January,19,No Holiday,Saturday,Non-Working Day,Rain,0.42,0.4242,0.88,0.2537,6,31,37,16.216216216216218,83.78378378378379,Commuter
21,2011-01-01,Spring,2011,January,20,No Holiday,Saturday,Non-Working Day,Cloudy,0.4,0.4091,0.87,0.2537,11,25,36,30.555555555555557,69.44444444444444,Evening Rider
22,2011-01-01,Spring,2011,January,21,No Holiday,Saturday,Non-Working Day,Cloudy,0.4,0.4091,0.87,0.194,3,31,34,8.823529411764707,91.17647058823529,Evening Rider
23,2011-01-01,Spring,2011,January,22,No Holiday,Saturday,Non-Working Day,Cloudy,0.4,0.4091,0.94,0.2239,11,17,28,39.285714285714285,60.71428571428571,Evening Rider
24,2011-01-01,Spring,2011,January,23,No Holiday,Saturday,Non-Working Day,Cloudy,0.46,0.4545,0.88,0.2985,15,24,39,38.46153846153847,61.53846153846154,Night Owl
25,2011-01-02,Spring,2011,January,0,No Holiday,Sunday,Non-Working Day,Cloudy,0.46,0.4545,0.88,0.2985,4,13,17,23.52941176470588,76.47058823529412,Night Owl
26,2011-01-02,Spring,2011,January,1,No Holiday,Sunday,Non-Working Day,Cloudy,0.44,0.4394,0.94,0.2537,1,16,17,5.88235294117647,94.11764705882352,Night Owl
27,2011-01-02,Spring,2011,January,2,No Holiday,Sunday,Non-Working Day,Cloudy,0.42,0.4242,1.0,0.2836,1,8,9,11.11111111111111,88.88888888888889,Night Owl
28,2011-01-02,Spring,2011,January,3,No Holiday,Sunday,Non-Working Day,Cloudy,0.46,0.4545,0.94,0.194,2,4,6,33.33333333333333,66.66666666666666,Night Owl
29,2011-01-02,Spring,2011,January,4,No Holiday,Sunday,Non-Working Day,Cloudy,0.46,0.4545,0.94,0.194,2,1,3,66.66666666666666,33.33333333333333,Night Owl
30,2011-01-02,Spring,2011,January,6,No Holiday,Sunday,Non-Working Day,Rain,0.42,0.4242,0.77,0.2985,0,2,2,0.0,100.0,All-Day Rider
31,2011-01-02,Spring,2011,January,7,No Holiday,Sunday,Non-Working Day,Cloudy,0.4,0.4091,0.76,0.194,0,1,1,0.0,100.0,Commuter
32,2011-01-02,Spring,2011,January,8,No Holiday,Sunday,Non-Working Day,Rain,0.4,0.4091,0.71,0.2239,0,8,8,0.0,100.0,Commuter
33,2011-01-02,Spring,2011,January,9,No Holiday,Sunday,Non-Working Day,Cloudy,0.38,0.3939,0.76,0.2239,1,19,20,5.0,95.0,Commuter
34,2011-01-02,Spring,2011,January,10,No Holiday,Sunday,Non-Working Day,Cloudy,0.36,0.3485,0.81,0.2239,7,46,53,13.20754716981132,86.79245283018868,All-Day Rider
35,2011-01-02,Spring,2011,January,11,No Holiday,Sunday,Non-Working Day,Cloudy,0.36,0.3333,0.71,0.2537,16,54,70,22.857142857142858,77.14285714285715,All-Day Rider
36,2011-01-02,Spring,2011,January,12,No Holiday,Sunday,Non-Working Day,Cloudy,0.36,0.3333,0.66,0.2985,20,73,93,21.50537634408602,78.49462365591397,All-Day Rider
37,2011-01-02,Spring,2011,January,13,No Holiday,Sunday,Non-Working Day,Cloudy,0.36,0.3485,0.66,0.1343,11,64,75,14.666666666666666,85.33333333333334,All-Day Rider
38,2011-01-02,Spring,2011,January,14,No Holiday,Sunday,Non-Working Day,Rain,0.36,0.3485,0.76,0.194,4,55,59,6.779661016949152,93.22033898305084,All-Day Rider
39,2011-01-02,Spring,2011,January,15,No Holiday,Sunday,Non-Working Day,Rain,0.34,0.3333,0.81,0.1642,19,55,74,25.675675675675674,74.32432432432432,All-Day Rider
40,2011-01-02,Spring,2011,January,16,No Holiday,Sunday,Non-Working Day,Rain,0.34,0.3333,0.71,0.1642,9,67,76,11.842105263157894,88.1578947368421,All-Day Rider
41,2011-01-02,Spring,2011,January,17,No Holiday,Sunday,Non-Working Day,Few Clouds,0.34,0.3333,0.57,0.194,7,58,65,10.76923076923077,89.23076923076924,Commuter
42,2011-01-02,Spring,2011,January,18,No Holiday,Sunday,Non-Working Day,Cloudy,0.36,0.3333,0.46,0.3284,10,43,53,18.867924528301888,81.13207547169812,Commuter
43,2011-01-02,Spring,2011,January,19,No Holiday,Sunday,Non-Working Day,Few Clouds,0.32,0.2879,0.42,0.4478,1,29,30,3.3333333333333335,96.66666666666667,Commuter
44,2011-01-02,Spring,2011,January,20,No Holiday,Sunday,Non-Working Day,Few Clouds,0.3,0.2727,0.39,0.3582,5,17,22,22.727272727272727,77.27272727272727,Evening Rider
45,2011-01-02,Spring,2011,January,21,No Holiday,Sunday,Non-Working Day,Few Clouds,0.26,0.2273,0.44,0.3284,11,20,31,35.483870967741936,64.51612903225806,Evening Rider
46,2011-01-02,Spring,2011,January,22,No Holiday,Sunday,Non-Working Day,Few Clouds,0.24,0.2121,0.44,0.2985,0,9,9,0.0,100.0,Evening Rider
47,2011-01-02,Spring,2011,January,23,No Holiday,Sunday,Non-Working Day,Few Clouds,0.22,0.2273,0.47,0.1642,0,8,8,0.0,100.0,Night Owl
48,2011-01-03,Spring,2011,January,0,No Holiday,Monday,Working Day,Few Clouds,0.22,0.197,0.44,0.3582,0,5,5,0.0,100.0,Night Owl
49,2011-01-03,Spring,2011,January,1,No Holiday,Monday,Working Day,Few Clouds,0.2,0.1667,0.44,0.4179,0,2,2,0.0,100.0,Night Owl
50,2011-01-03,Spring,2011,January,4,No Holiday,Monday,Working Day,Few Clouds,0.16,0.1364,0.47,0.3881,0,1,1,0.0,100.0,Night Owl
51,2011-01-03,Spring,2011,January,5,No Holiday,Monday,Working Day,Few Clouds,0.16,0.1364,0.47,0.2836,0,3,3,0.0,100.0,All-Day Rider
52,2011-01-03,Spring,2011,January,6,No Holiday,Monday,Working Day,Few Clouds,0.14,0.1061,0.5,0.3881,0,30,30,0.0,100.0,All-Day Rider
53,2011-01-03,Spring,2011,January,7,No Holiday,Monday,Working Day,Few Clouds,0.14,0.1364,0.5,0.194,1,63,64,1.5625,98.4375,Commuter
54,2011-01-03,Spring,2011,January,8,No Holiday,Monday,Working Day,Few Clouds,0.14,0.1212,0.5,0.2836,1,153,154,0.6493506493506493,99.35064935064936,Commuter
55,2011-01-03,Spring,2011,January,9,No Holiday,Monday,Working Day,Few Clouds,0.16,0.1364,0.43,0.3881,7,81,88,7.954545454545454,92.04545454545455,Commuter
56,2011-01-03,Spring,2011,January,10,No Holiday,Monday,Working Day,Few Clouds,0.18,0.1667,0.43,0.2537,11,33,44,25.0,75.0,All-Day Rider
57,2011-01-03,Spring,2011,January,11,No Holiday,Monday,Working Day,Few Clouds,0.2,0.1818,0.4,0.3284,10,41,51,19.607843137254903,80.3921568627451,All-Day Rider
58,2011-01-03,Spring,2011,January,12,No Holiday,Monday,Working Day,Few Clouds,0.22,0.2121,0.35,0.2985,13,48,61,21.311475409836063,78.68852459016394,All-Day Rider
59,2011-01-03,Spring,2011,January,13,No Holiday,Monday,Working Day,Few Clouds,0.24,0.2121,0.35,0.2836,8,53,61,13.114754098360656,86.88524590163934,All-Day Rider
60,2011-01-03,Spring,2011,January,14,No Holiday,Monday,Working Day,Few Clouds,0.26,0.2424,0.3,0.2836,11,66,77,14.285714285714285,85.71428571428571,All-Day Rider
61,2011-01-03,Spring,2011,January,15,No Holiday,Monday,Working Day,Few Clouds,0.26,0.2424,0.3,0.2537,14,58,72,19.444444444444446,80.55555555555556,All-Day Rider
62,2011-01-03,Spring,2011,January,16,No Holiday,Monday,Working Day,Few Clouds,0.26,0.2424,0.3,0.2537,9,67,76,11.842105263157894,88.1578947368421,All-Day Rider
63,2011-01-03,Spring,2011,January,17,No Holiday,Monday,Working Day,Few Clouds,0.24,0.2273,0.3,0.2239,11,146,157,7.006369426751593,92.99363057324841,Commuter
64,2011-01-03,Spring,2011,January,18,No Holiday,Monday,Working Day,Few Clouds,0.24,0.2576,0.32,0.1045,9,148,157,5.7324840764331215,94.26751592356688,Commuter
65,2011-01-03,Spring,2011,January,19,No Holiday,Monday,Working Day,Few Clouds,0.2,0.2576,0.47,0.0,8,102,110,7.2727272727272725,92.72727272727272,Commuter
66,2011-01-03,Spring,2011,January,20,No Holiday,Monday,Working Day,Few Clouds,0.2,0.2273,0.47,0.1045,3,49,52,5.769230769230769,94.23076923076923,Evening Rider
67,2011-01-03,Spring,2011,January,21,No Holiday,Monday,Working Day,Few Clouds,0.18,0.197,0.64,0.1343,3,49,52,5.769230769230769,94.23076923076923,Evening Rider
68,2011-01-03,Spring,2011,January,22,No Holiday,Monday,Working Day,Few Clouds,0.14,0.1515,0.69,0.1343,0,20,20,0.0,100.0,Evening Rider
69,2011-01-03,Spring,2011,January,23,No Holiday,Monday,Working Day,Few Clouds,0.18,0.2121,0.55,0.1045,1,11,12,8.333333333333332,91.66666666666666,Night Owl
70,2011-01-04,Spring,2011,January,0,No Holiday,Tuesday,Working Day,Few Clouds,0.16,0.1818,0.55,0.1045,0,5,5,0.0,100.0,Night Owl
71,2011-01-04,Spring,2011,January,1,No Holiday,Tuesday,Working Day,Few Clouds,0.16,0.1818,0.59,0.1045,0,2,2,0.0,100.0,Night Owl
72,2011-01-04,Spring,2011,January,2,No Holiday,Tuesday,Working Day,Few Clouds,0.14,0.1515,0.63,0.1343,0,1,1,0.0,100.0,Night Owl
73,2011-01-04,Spring,2011,January,4,No Holiday,Tuesday,Working Day,Few Clouds,0.14,0.1818,0.63,0.0896,0,2,2,0.0,100.0,Night Owl
74,2011-01-04,Spring,2011,January,5,No Holiday,Tuesday,Working Day,Few Clouds,0.12,0.1515,0.68,0.1045,0,4,4,0.0,100.0,All-Day Rider
75,2011-01-04,Spring,2011,January,6,No Holiday,Tuesday,Working Day,Few Clouds,0.12,0.1515,0.74,0.1045,0,36,36,0.0,100.0,All-Day Rider
76,2011-01-04,Spring,2011,January,7,No Holiday,Tuesday,Working Day,Few Clouds,0.12,0.1515,0.74,0.1343,2,92,94,2.127659574468085,97.87234042553192,Commuter
77,2011-01-04,Spring,2011,January,8,No Holiday,Tuesday,Working Day,Few Clouds,0.14,0.1515,0.69,0.1642,2,177,179,1.1173184357541899,98.88268156424581,Commuter
78,2011-01-04,Spring,2011,January,9,No Holiday,Tuesday,Working Day,Few Clouds,0.16,0.1515,0.64,0.2239,2,98,100,2.0,98.0,Commuter
79,2011-01-04,Spring,2011,January,10,No Holiday,Tuesday,Working Day,Cloudy,0.16,0.1364,0.69,0.3284,5,37,42,11.904761904761903,88.09523809523809,All-Day Rider
80,2011-01-04,Spring,2011,January,11,No Holiday,Tuesday,Working Day,Few Clouds,0.22,0.2121,0.51,0.2985,7,50,57,12.280701754385964,87.71929824561403,All-Day Rider
81,2011-01-04,Spring,2011,January,12,No Holiday,Tuesday,Working Day,Few Clouds,0.22,0.2273,0.51,0.1642,12,66,78,15.384615384615385,84.61538461538461,All-Day Rider
82,2011-01-04,Spring,2011,January,13,No Holiday,Tuesday,Working Day,Few Clouds,0.24,0.2273,0.56,0.194,18,79,97,18.556701030927837,81.44329896907216,All-Day Rider
83,2011-01-04,Spring,2011,January,14,No Holiday,Tuesday,Working Day,Few Clouds,0.26,0.2576,0.52,0.2239,9,54,63,14.285714285714285,85.71428571428571,All-Day Rider
84,2011-01-04,Spring,2011,January,15,No Holiday,Tuesday,Working Day,Few Clouds,0.28,0.2727,0.52,0.2537,17,48,65,26.153846153846157,73.84615384615385,All-Day Rider
85,2011-01-04,Spring,2011,January,16,No Holiday,Tuesday,Working Day,Few Clouds,0.3,0.2879,0.49,0.2537,15,68,83,18.072289156626507,81.92771084337349,All-Day Rider
86,2011-01-04,Spring,2011,January,17,No Holiday,Tuesday,Working Day,Few Clouds,0.28,0.2727,0.48,0.2239,10,202,212,4.716981132075472,95.28301886792453,Commuter
87,2011-01-04,Spring,2011,January,18,No Holiday,Tuesday,Working Day,Few Clouds,0.26,0.2576,0.48,0.194,3,179,182,1.6483516483516485,98.35164835164835,Commuter
88,2011-01-04,Spring,2011,January,19,No Holiday,Tuesday,Working Day,Few Clouds,0.24,0.2576,0.48,0.1045,2,110,112,1.7857142857142856,98.21428571428571,Commuter
89,2011-01-04,Spring,2011,January,20,No Holiday,Tuesday,Working Day,Few Clouds,0.24,0.2576,0.48,0.1045,1,53,54,1.8518518518518516,98.14814814814815,Evening Rider
90,2011-01-04,Spring,2011,January,21,No Holiday,Tuesday,Working Day,Few Clouds,0.22,0.2727,0.64,0.0,0,48,48,0.0,100.0,Evening Rider
91,2011-01-04,Spring,2011,January,22,No Holiday,Tuesday,Working Day,Few Clouds,0.22,0.2576,0.64,0.0896,1,34,35,2.857142857142857,97.14285714285714,Evening Rider
92,2011-01-04,Spring,2011,January,23,No Holiday,Tuesday,Working Day,Few Clouds,0.2,0.2273,0.69,0.0896,2,9,11,18.181818181818183,81.81818181818183,Night Owl
93,2011-01-05,Spring,2011,January,0,No Holiday,Wednesday,Working Day,Few Clouds,0.2,0.2576,0.64,0.0,0,6,6,0.0,100.0,Night Owl
94,2011-01-05,Spring,2011,January,1,No Holiday,Wednesday,Working Day,Few Clouds,0.16,0.197,0.74,0.0896,0,6,6,0.0,100.0,Night Owl
95,2011-01-05,Spring,2011,January,2,No Holiday,Wednesday,Working Day,Few Clouds,0.16,0.197,0.74,0.0896,0,2,2,0.0,100.0,Night Owl
96,2011-01-05,Spring,2011,January,4,No Holiday,Wednesday,Working Day,Few Clouds,0.24,0.2273,0.48,0.2239,0,2,2,0.0,100.0,Night Owl
97,2011-01-05,Spring,2011,January,5,No Holiday,Wednesday,Working Day,Few Clouds,0.22,0.2273,0.47,0.1642,0,3,3,0.0,100.0,All-Day Rider
98,2011-01-05,Spring,2011,January,6,No Holiday,Wednesday,Working Day,Few Clouds,0.2,0.197,0.47,0.2239,0,33,33,0.0,100.0,All-Day Rider
99,2011-01-05,Spring,2011,January,7,No Holiday,Wednesday,Working Day,Few Clouds,0.18,0.1818,0.43,0.194,1,87,88,1.1363636363636365,98.86363636363636,Commuter
100,2011-01-05,Spring,2011,January,8,No Holiday,Wednesday,Working Day,Few Clouds,0.2,0.1818,0.4,0.2985,3,192,195,1.5384615384615385,98.46153846153847,Commuter
101,2011-01-05,Spring,2011,January,9,No Holiday,Wednesday,Working Day,Few Clouds,0.22,0.197,0.37,0.3284,6,109,115,5.217391304347826,94.78260869565217,Commuter
102,2011-01-05,Spring,2011,January,10,No Holiday,Wednesday,Working Day,Few Clouds,0.22,0.197,0.37,0.3284,4,53,57,7.017543859649122,92.98245614035088,All-Day Rider
103,2011-01-05,Spring,2011,January,11,No Holiday,Wednesday,Working Day,Few Clouds,0.26,0.2273,0.33,0.3284,12,34,46,26.08695652173913,73.91304347826086,All-Day Rider
104,2011-01-05,Spring,2011,January,12,No Holiday,Wednesday,Working Day,Few Clouds,0.26,0.2273,0.33,0.3284,5,74,79,6.329113924050633,93.67088607594937,All-Day Rider
105,2011-01-05,Spring,2011,January,13,No Holiday,Wednesday,Working Day,Few Clouds,0.28,0.2576,0.3,0.2985,6,65,71,8.450704225352112,91.54929577464789,All-Day Rider
106,2011-01-05,Spring,2011,January,14,No Holiday,Wednesday,Working Day,Few Clouds,0.3,0.2879,0.28,0.194,10,52,62,16.129032258064516,83.87096774193549,All-Day Rider
107,2011-01-05,Spring,2011,January,15,No Holiday,Wednesday,Working Day,Few Clouds,0.3,0.2879,0.28,0.194,7,55,62,11.29032258064516,88.70967741935483,All-Day Rider
108,2011-01-05,Spring,2011,January,16,No Holiday,Wednesday,Working Day,Few Clouds,0.3,0.3182,0.28,0.0896,4,85,89,4.49438202247191,95.50561797752809,All-Day Rider
109,2011-01-05,Spring,2011,January,17,No Holiday,Wednesday,Working Day,Few Clouds,0.24,0.2273,0.38,0.194,4,186,190,2.1052631578947367,97.89473684210527,Commuter
110,2011-01-05,Spring,2011,January,18,No Holiday,Wednesday,Working Day,Few Clouds,0.24,0.2424,0.38,0.1343,3,166,169,1.7751479289940828,98.22485207100591,Commuter
111,2011-01-05,Spring,2011,January,19,No Holiday,Wednesday,Working Day,Few Clouds,0.24,0.2576,0.38,0.1045,5,127,132,3.787878787878788,96.21212121212122,Commuter
112,2011-01-05,Spring,2011,January,20,No Holiday,Wednesday,Working Day,Few Clouds,0.22,0.2273,0.47,0.1642,7,82,89,7.865168539325842,92.13483146067416,Evening Rider
113,2011-01-05,Spring,2011,January,21,No Holiday,Wednesday,Working Day,Few Clouds,0.2,0.197,0.51,0.194,3,40,43,6.976744186046512,93.02325581395348,Evening Rider
114,2011-01-05,Spring,2011,January,22,No Holiday,Wednesday,Working Day,Few Clouds,0.18,0.197,0.55,0.1343,1,41,42,2.380952380952381,97.61904761904762,Evening Rider
115,2011-01-05,Spring,2011,January,23,No Holiday,Wednesday,Working Day,Few Clouds,0.2,0.2576,0.47,0.0,1,18,19,5.263157894736842,94.73684210526315,Night Owl
116,2011-01-06,Spring,2011,January,0,No Holiday,Thursday,Working Day,Few Clouds,0.18,0.2424,0.55,0.0,0,11,11,0.0,100.0,Night Owl
117,2011-01-06,Spring,2011,January,1,No Holiday,Thursday,Working Day,Few Clouds,0.16,0.2273,0.64,0.0,0,4,4,0.0,100.0,Night Owl
118,2011-01-06,Spring,2011,January,2,No Holiday,Thursday,Working Day,Few Clouds,0.16,0.2273,0.64,0.0,0,2,2,0.0,100.0,Night Owl
119,2011-01-06,Spring,2011,January,4,No Holiday,Thursday,Working Day,Cloudy,0.16,0.197,0.64,0.0896,0,1,1,0.0,100.0,Night Owl
120,2011-01-06,Spring,2011,January,5,No Holiday,Thursday,Working Day,Cloudy,0.14,0.1818,0.69,0.0896,0,4,4,0.0,100.0,All-Day Rider
121,2011-01-06,Spring,2011,January,6,No Holiday,Thursday,Working Day,Cloudy,0.14,0.1667,0.63,0.1045,0,36,36,0.0,100.0,All-Day Rider
122,2011-01-06,Spring,2011,January,7,No Holiday,Thursday,Working Day,Cloudy,0.16,0.2273,0.59,0.0,0,95,95,0.0,100.0,Commuter
123,2011-01-06,Spring,2011,January,8,No Holiday,Thursday,Working Day,Few Clouds,0.16,0.2273,0.59,0.0,3,216,219,1.36986301369863,98.63013698630137,Commuter
124,2011-01-06,Spring,2011,January,9,No Holiday,Thursday,Working Day,Cloudy,0.18,0.2424,0.51,0.0,6,116,122,4.918032786885246,95.08196721311475,Commuter
125,2011-01-06,Spring,2011,January,10,No Holiday,Thursday,Working Day,Few Clouds,0.2,0.2576,0.47,0.0,3,42,45,6.666666666666667,93.33333333333333,All-Day Rider
126,2011-01-06,Spring,2011,January,11,No Holiday,Thursday,Working Day,Few Clouds,0.22,0.2576,0.44,0.0896,2,57,59,3.389830508474576,96.61016949152543,All-Day Rider
127,2011-01-06,Spring,2011,January,12,No Holiday,Thursday,Working Day,Few Clouds,0.26,0.2879,0.35,0.0,6,78,84,7.142857142857142,92.85714285714286,All-Day Rider
128,2011-01-06,Spring,2011,January,13,No Holiday,Thursday,Working Day,Few Clouds,0.26,0.2727,0.35,0.1045,12,55,67,17.91044776119403,82.08955223880598,All-Day Rider
129,2011-01-06,Spring,2011,January,14,No Holiday,Thursday,Working Day,Few Clouds,0.28,0.2727,0.36,0.1642,11,59,70,15.714285714285714,84.28571428571429,All-Day Rider
130,2011-01-06,Spring,2011,January,15,No Holiday,Thursday,Working Day,Few Clouds,0.28,0.2727,0.36,0.0,8,54,62,12.903225806451612,87.09677419354838,All-Day Rider
131,2011-01-06,Spring,2011,January,16,No Holiday,Thursday,Working Day,Few Clouds,0.26,0.2576,0.38,0.1642,12,74,86,13.953488372093023,86.04651162790698,All-Day Rider
132,2011-01-06,Spring,2011,January,17,No Holiday,Thursday,Working Day,Few Clouds,0.22,0.2273,0.51,0.1642,9,163,172,5.232558139534884,94.76744186046511,Commuter
133,2011-01-06,Spring,2011,January,18,No Holiday,Thursday,Working Day,Few Clouds,0.22,0.2273,0.51,0.1343,5,158,163,3.067484662576687,96.93251533742331,Commuter
134,2011-01-06,Spring,2011,January,19,No Holiday,Thursday,Working Day,Few Clouds,0.22,0.2576,0.55,0.0896,3,109,112,2.6785714285714284,97.32142857142857,Commuter
135,2011-01-06,Spring,2011,January,20,No Holiday,Thursday,Working Day,Few Clouds,0.2,0.2121,0.51,0.1642,3,66,69,4.3478260869565215,95.65217391304348,Evening Rider
136,2011-01-06,Spring,2011,January,21,No Holiday,Thursday,Working Day,Cloudy,0.22,0.2121,0.55,0.2239,0,48,48,0.0,100.0,Evening Rider
137,2011-01-06,Spring,2011,January,22,No Holiday,Thursday,Working Day,Cloudy,0.22,0.2121,0.51,0.2836,1,51,52,1.9230769230769231,98.07692307692307,Evening Rider
138,2011-01-06,Spring,2011,January,23,No Holiday,Thursday,Working Day,Cloudy,0.2,0.197,0.59,0.194,4,19,23,17.391304347826086,82.6086956521739,Night Owl
139,2011-01-07,Spring,2011,January,0,No Holiday,Friday,Working Day,Cloudy,0.2,0.197,0.64,0.194,4,13,17,23.52941176470588,76.47058823529412,Night Owl
140,2011-01-07,Spring,2011,January,1,No Holiday,Friday,Working Day,Cloudy,0.2,0.197,0.69,0.2239,2,5,7,28.57142857142857,71.42857142857143,Night Owl
141,2011-01-07,Spring,2011,January,2,No Holiday,Friday,Working Day,Cloudy,0.2,0.197,0.69,0.2239,0,1,1,0.0,100.0,Night Owl
142,2011-01-07,Spring,2011,January,4,No Holiday,Friday,Working Day,Cloudy,0.2,0.2121,0.69,0.1343,0,1,1,0.0,100.0,Night Owl
143,2011-01-07,Spring,2011,January,5,No Holiday,Friday,Working Day,Rain,0.22,0.2727,0.55,0.0,0,5,5,0.0,100.0,All-Day Rider
144,2011-01-07,Spring,2011,January,6,No Holiday,Friday,Working Day,Cloudy,0.2,0.2576,0.69,0.0,8,26,34,23.52941176470588,76.47058823529412,All-Day Rider
145,2011-01-07,Spring,2011,January,7,No Holiday,Friday,Working Day,Few Clouds,0.2,0.2121,0.69,0.1343,8,76,84,9.523809523809524,90.47619047619048,Commuter
146,2011-01-07,Spring,2011,January,8,No Holiday,Friday,Working Day,Few Clouds,0.2,0.197,0.51,0.2537,20,190,210,9.523809523809524,90.47619047619048,Commuter
147,2011-01-07,Spring,2011,January,9,No Holiday,Friday,Working Day,Few Clouds,0.2,0.1818,0.47,0.2985,9,125,134,6.7164179104477615,93.28358208955224,Commuter
148,2011-01-07,Spring,2011,January,10,No Holiday,Friday,Working Day,Few Clouds,0.22,0.197,0.37,0.3284,16,47,63,25.396825396825395,74.60317460317461,All-Day Rider
149,2011-01-07,Spring,2011,January,11,No Holiday,Friday,Working Day,Cloudy,0.2,0.197,0.4,0.2239,19,48,67,28.35820895522388,71.64179104477611,All-Day Rider
150,2011-01-07,Spring,2011,January,12,No Holiday,Friday,Working Day,Cloudy,0.2,0.197,0.37,0.2537,9,50,59,15.254237288135593,84.7457627118644,All-Day Rider
151,2011-01-07,Spring,2011,January,13,No Holiday,Friday,Working Day,Cloudy,0.2,0.1818,0.37,0.2836,9,64,73,12.32876712328767,87.67123287671232,All-Day Rider
152,2011-01-07,Spring,2011,January,14,No Holiday,Friday,Working Day,Cloudy,0.2,0.197,0.4,0.2537,7,43,50,14.000000000000002,86.0,All-Day Rider
153,2011-01-07,Spring,2011,January,15,No Holiday,Friday,Working Day,Cloudy,0.2,0.2121,0.37,0.1642,9,63,72,12.5,87.5,All-Day Rider
154,2011-01-07,Spring,2011,January,16,No Holiday,Friday,Working Day,Cloudy,0.2,0.2121,0.37,0.1642,5,82,87,5.747126436781609,94.25287356321839,All-Day Rider
155,2011-01-07,Spring,2011,January,17,No Holiday,Friday,Working Day,Cloudy,0.2,0.2576,0.37,0.0,9,178,187,4.81283422459893,95.18716577540107,Commuter
156,2011-01-07,Spring,2011,January,18,No Holiday,Friday,Working Day,Few Clouds,0.2,0.2273,0.4,0.0896,7,116,123,5.691056910569105,94.3089430894309,Commuter
157,2011-01-07,Spring,2011,January,19,No Holiday,Friday,Working Day,Few Clouds,0.16,0.197,0.55,0.0896,3,92,95,3.1578947368421053,96.84210526315789,Commuter
158,2011-01-07,Spring,2011,January,20,No Holiday,Friday,Working Day,Few Clouds,0.18,0.2121,0.47,0.1045,1,50,51,1.9607843137254901,98.0392156862745,Evening Rider
